
729	-212	0
552	823	1
-139	-918	0
-470	977	1
47	-5	0
-171	880	1
605	699	1
-379	982	1
-24	-267	0
194	826	1
859	-553	0
33	-715	0
-423	-714	0
547	-806	0
266	637	1
-487	863	1
90	444	1
659	232	0
847	-700	0
-365	-798	0
494	-849	0
840	741	0
400	-324	0
-34	146	1
-794	-276	1
-111	-353	0
251	311	1
869	-582	0
979	131	0
-24	-94	0
772	67	0
-467	-873	0
648	881	1
123	875	1
-972	-809	1
473	720	1
-184	454	1
689	607	0
368	280	0
-998	253	1
10	695	1
776	-318	0
-501	495	1
-334	441	1
782	-872	0
-609	878	1
162	-546	0
-512	645	1
981	-709	0
644	112	0
